title,authors,url,conference
Near-Optimal Multi-Perturbation Experimental Design for Causal Structure Learning,"Scott Sussex, Caroline Uhler, Andreas Krause",https://papers.nips.cc//paper/2021/hash/06d5ae105ea1bea4d800bc96491876e9-Abstract.html,NeurIPS 2021
Iterative Causal Discovery in the Possible Presence of Latent Confounders and Selection Bias,"Raanan Y. Rohekar, Shami Nisimov, Yaniv Gurwicz, Gal Novik",https://papers.nips.cc//paper/2021/hash/144a3f71a03ab7c4f46f9656608efdb2-Abstract.html,NeurIPS 2021
Object-Aware Regularization for Addressing Causal Confusion in Imitation Learning,"Jongjin Park, Younggyo Seo, Chang Liu, Li Zhao, Tao Qin, Jinwoo Shin, Tie-Yan Liu",https://papers.nips.cc//paper/2021/hash/17a3120e4e5fbdc3cb5b5f946809b06a-Abstract.html,NeurIPS 2021
BayesIMP: Uncertainty Quantification for Causal Data Fusion,"Siu Lun Chau, Jean-Francois Ton, Javier González, Yee Teh, Dino Sejdinovic",https://papers.nips.cc//paper/2021/hash/1ca5c750a30312d1919ae6a4d636dcc4-Abstract.html,NeurIPS 2021
Invariant Causal Imitation Learning for Generalizable Policies,"Ioana Bica, Daniel Jarrett, Mihaela van der Schaar",https://papers.nips.cc//paper/2021/hash/204904e461002b28511d5880e1c36a0f-Abstract.html,NeurIPS 2021
A Critical Look at the Consistency of Causal Estimation with Deep Latent Variable Models,"Severi Rissanen, Pekka Marttinen",https://papers.nips.cc//paper/2021/hash/21c5bba1dd6aed9ab48c2b34c1a0adde-Abstract.html,NeurIPS 2021
Instance-dependent Label-noise Learning under a Structural Causal Model,"Yu Yao, Tongliang Liu, Mingming Gong, Bo Han, Gang Niu, Kun Zhang",https://papers.nips.cc//paper/2021/hash/23451391cd1399019fa0421129066bc6-Abstract.html,NeurIPS 2021
A Topological Perspective on Causal Inference,"Duligur Ibeling, Thomas Icard",https://papers.nips.cc//paper/2021/hash/2c463dfdde588f3bfc60d53118c10d6b-Abstract.html,NeurIPS 2021
Learning Causal Semantic Representation for Out-of-Distribution Prediction,"Chang Liu, Xinwei Sun, Jindong Wang, Haoyue Tang, Tao Li, Tao Qin, Wei Chen, Tie-Yan Liu",https://papers.nips.cc//paper/2021/hash/310614fca8fb8e5491295336298c340f-Abstract.html,NeurIPS 2021
BCD Nets: Scalable Variational Approaches for Bayesian Causal Discovery,"Chris Cundy, Aditya Grover, Stefano Ermon",https://papers.nips.cc//paper/2021/hash/39799c18791e8d7eb29704fc5bc04ac8-Abstract.html,NeurIPS 2021
